Numer_skladowej,Wartosc_Niebieski,Wartosc_Zielony,Wartosc_Czerwony,Srednia_Waznosc
1,62659.2,106065.6,122969.64,97231.48
2,17662.74,21256.33,31312.5,23410.52
3,13648.4,12698.19,15306.52,13884.37
4,12465.54,11131.89,14006.6,12534.68
5,11432.84,9907.39,12716.35,11352.2
6,9576.12,9022.68,11133.76,9910.85
7,8851.4,8708.9,10738.91,9433.07
8,7435.22,8072.42,10564.1,8690.58
9,7019.22,7959.63,9868.39,8282.41
10,6433.92,7240.37,9356.31,7676.86
11,5722.06,6854.11,8863.68,7146.62
12,5288.27,6392.68,8604.99,6761.98
13,4763.4,6165.35,8011.18,6313.31
14,4659.37,5864.84,7943.78,6155.99
15,4544.52,5659.87,7351.41,5851.93
16,4468.79,5487.86,6970.59,5642.41
17,4180.5,5223.37,6908.4,5437.42
18,4078.35,4983.13,6614.68,5225.39
19,3953.94,4773.15,6150.78,4959.29
20,3708.8,4438.48,5918.26,4688.51
21,3626.93,4243.12,5814.28,4561.44
22,3560.8,4219.12,5544.59,4441.5
23,3294.71,4084.38,5409.5,4262.86
24,3286.56,3997.78,5381.31,4221.88
25,3161.69,3942.83,5173.66,4092.73
