Numer_skladowej,Wartosc_Niebieski,Wartosc_Zielony,Wartosc_Czerwony,Srednia_Waznosc
1,143566.15,140368.28,128474.99,137469.81
2,21073.38,17795.83,18274.61,19047.94
3,10293.72,10419.79,12111.53,10941.68
4,8889.13,9362.51,11237.27,9829.64
5,7910.73,7735.37,8306.57,7984.22
6,6941.8,7163.6,7527.94,7211.12
7,6565.43,6537.68,7271.09,6791.4
8,5681.53,5978.1,6418.6,6026.08
9,5468.9,5399.83,6197.74,5688.82
10,4924.38,5233.44,6051.26,5403.03
11,4612.74,5153.43,5658.89,5141.69
12,4493.01,4555.38,4889.39,4645.93
13,4465.46,4276.63,4782.14,4508.08
14,3975.47,4102.35,4617.47,4231.76
15,3928.04,3925.87,4342.48,4065.46
16,3846.48,3799.09,3995.83,3880.47
17,3700.11,3697.37,3906.21,3767.89
18,3584.38,3514.0,3795.01,3631.13
19,3365.91,3463.92,3765.94,3531.92
20,3215.51,3299.44,3590.36,3368.44
21,3051.11,3219.26,3528.49,3266.29
22,2890.12,3135.19,3354.42,3126.58
23,2870.35,3089.85,3276.72,3078.97
24,2813.7,3025.29,3261.32,3033.44
25,2767.92,2907.09,3128.03,2934.35
