Numer_skladowej,Wartosc_Niebieski,Wartosc_Zielony,Wartosc_Czerwony,Srednia_Waznosc
1,83375.94,83375.94,83375.94,83375.94
2,48972.68,48972.68,48972.68,48972.68
3,48886.79,48886.79,48886.79,48886.79
4,14839.06,14839.06,14839.06,14839.06
5,14824.21,14824.21,14824.21,14824.21
6,8294.58,8294.58,8294.58,8294.58
7,8286.15,8286.15,8286.15,8286.15
8,6105.04,6105.04,6105.04,6105.04
9,6096.97,6096.97,6096.97,6096.97
10,4957.41,4957.41,4957.41,4957.41
11,4956.4,4956.4,4956.4,4956.4
12,3637.81,3637.81,3637.81,3637.81
13,3635.59,3635.59,3635.59,3635.59
14,2049.14,2049.14,2049.14,2049.14
15,2035.59,2035.59,2035.59,2035.59
16,2030.8,2030.8,2030.8,2030.8
17,1946.09,1946.09,1946.09,1946.09
18,1891.96,1891.96,1891.96,1891.96
19,1881.87,1881.87,1881.87,1881.87
20,1802.48,1802.48,1802.48,1802.48
21,1741.31,1741.31,1741.31,1741.31
22,1269.23,1269.23,1269.23,1269.23
23,1215.35,1215.35,1215.35,1215.35
24,1204.44,1204.44,1204.44,1204.44
25,1143.95,1143.95,1143.95,1143.95
