Model,Grupa,Zdjecia,Średni czas (ms),FPS,Wykryte twarze,Skuteczność (%)
Google-MediaPipe,3,48,6.71,148.99,39,81.25
Google-MediaPipe,7,48,6.63,150.79,48,100.0
Google-MediaPipe,10,48,6.67,149.99,48,100.0
Google-MediaPipe,15,48,6.75,148.23,48,100.0
Google-MediaPipe,20,48,6.77,147.79,48,100.0
Google-MediaPipe,25,48,6.71,148.93,48,100.0
Google-MediaPipe,30,48,6.78,147.55,48,100.0
Google-MediaPipe,50,48,6.79,147.23,48,100.0
Google-MediaPipe,original,48,6.77,147.82,48,100.0
Qualcomm-Lightweight,3,48,15.79,63.34,48,100.0
Qualcomm-Lightweight,7,48,15.63,63.96,48,100.0
Qualcomm-Lightweight,10,48,15.53,64.4,48,100.0
Qualcomm-Lightweight,15,48,15.57,64.21,48,100.0
Qualcomm-Lightweight,20,48,15.48,64.61,48,100.0
Qualcomm-Lightweight,25,48,15.58,64.19,48,100.0
Qualcomm-Lightweight,30,48,15.52,64.42,48,100.0
Qualcomm-Lightweight,50,48,15.69,63.74,48,100.0
Qualcomm-Lightweight,original,48,15.54,64.34,48,100.0
YOLOv8-Face,3,48,48.74,20.52,14,29.17
YOLOv8-Face,7,48,50.88,19.65,47,97.92
YOLOv8-Face,10,48,49.28,20.29,47,97.92
YOLOv8-Face,15,48,49.16,20.34,47,97.92
YOLOv8-Face,20,48,48.69,20.54,48,100.0
YOLOv8-Face,25,48,49.44,20.23,48,100.0
YOLOv8-Face,30,48,49.14,20.35,48,100.0
YOLOv8-Face,50,48,51.05,19.59,48,100.0
YOLOv8-Face,original,48,49.52,20.2,48,100.0
